time, Acceleration x, Acceleration y, acceleration z, distance
10475,-0.15,-0.62,9.42,27.56
10493,-0.15,-0.60,9.38,27.46
10509,-0.13,-0.62,9.45,27.46
10526,-0.14,-0.63,9.42,27.56
10544,-0.15,-0.63,9.42,27.46
10559,-0.16,-0.62,9.42,27.46
10576,-0.15,-0.63,9.43,27.56
10594,-0.15,-0.62,9.41,27.44
10609,-0.14,-0.66,9.44,27.56
10627,-0.14,-0.64,9.44,27.46
10644,-0.15,-0.62,9.39,27.46
10659,-0.12,-0.62,9.45,27.55
10677,-0.14,-0.62,9.42,27.46
10694,-0.15,-0.63,9.45,27.46
10710,-0.15,-0.62,9.45,27.56
10727,-0.14,-0.65,9.45,27.44
10744,-0.13,-0.63,9.41,27.56
10761,-0.13,-0.63,9.47,27.56
10777,-0.15,-0.62,9.44,27.46
10795,-0.16,-0.61,9.41,27.55
10811,-0.17,-0.63,9.45,27.44
10827,-0.13,-0.64,9.43,27.56
10846,-0.15,-0.65,9.40,27.56
10861,-0.14,-0.63,9.46,27.44
10877,-0.13,-0.64,9.44,27.56
10896,-0.14,-0.65,9.45,27.46
10911,-0.15,-0.62,9.46,27.44
10929,-0.15,-0.63,9.40,27.56
10946,-0.14,-0.65,9.43,27.46
10961,-0.15,-0.63,9.43,27.44
10979,-0.11,-0.66,9.47,27.55
10996,-0.15,-0.63,9.46,27.46
11012,-0.16,-0.62,9.44,27.55
11029,-0.15,-0.64,9.39,27.46
11046,-0.15,-0.66,9.41,27.46
11062,-0.15,-0.62,9.42,27.55
11079,-0.14,-0.61,9.45,27.44
11097,-0.16,-0.64,9.42,27.55
11113,-0.13,-0.62,9.45,27.56
11129,-0.13,-0.63,9.39,27.46
11147,-0.15,-0.62,9.44,27.55
11163,-0.14,-0.63,9.45,27.44
11180,-0.17,-0.65,9.44,27.53
11198,-0.14,-0.64,9.43,27.56
11213,-0.14,-0.66,9.43,27.44
11230,-0.16,-0.64,9.43,27.56
11248,-0.15,-0.64,9.43,27.56
11264,-0.15,-0.64,9.40,27.44
11280,-0.15,-0.63,9.42,27.56
11298,-0.14,-0.61,9.41,27.46
11314,-0.15,-0.65,9.46,27.44
11331,-0.15,-0.60,9.44,27.55
11348,-0.15,-0.62,9.43,27.46
11364,-0.15,-0.63,9.41,27.46
11381,-0.15,-0.64,9.44,27.46
11399,-0.14,-0.64,9.39,27.46
11414,-0.15,-0.63,9.43,27.56
11431,-0.13,-0.63,9.48,27.46
11449,-0.14,-0.64,9.44,27.46
11464,-0.15,-0.65,9.44,27.55
11482,-0.16,-0.64,9.44,27.46
11499,-0.16,-0.63,9.45,27.56
11515,-0.14,-0.64,9.46,27.55
11532,-0.14,-0.63,9.44,27.46
11549,-0.13,-0.64,9.44,27.56
11566,-0.15,-0.62,9.43,27.44
11582,-0.13,-0.62,9.44,27.55
11600,-0.16,-0.65,9.41,27.56
11616,-0.16,-0.63,9.44,27.46
11632,-0.13,-0.62,9.44,27.56
11651,-0.15,-0.64,9.44,27.56
11666,-0.15,-0.61,9.44,27.46
11682,-0.14,-0.63,9.45,27.56
11701,-0.14,-0.63,9.42,27.44
11716,-0.13,-0.65,9.45,27.46
11734,-0.14,-0.63,9.44,27.56
11751,-0.13,-0.64,9.40,27.46
11766,-0.14,-0.63,9.44,27.46
11784,-0.14,-0.60,9.40,27.56
11801,-0.14,-0.64,9.42,27.46
11816,-0.14,-0.63,9.43,27.46
11834,-0.14,-0.63,9.44,27.44
11851,-0.14,-0.62,9.42,27.46
11867,-0.14,-0.62,9.43,27.56
11884,-0.15,-0.62,9.42,27.46
11901,-0.15,-0.62,9.44,27.46
11917,-0.15,-0.64,9.42,27.56
11934,-0.15,-0.63,9.45,27.44
11952,-0.14,-0.62,9.44,27.56
11968,-0.13,-0.62,9.43,27.56
11984,-0.13,-0.64,9.45,27.46
12002,-0.16,-0.66,9.41,27.56
12018,-0.16,-0.64,9.44,27.56
12035,-0.13,-0.63,9.44,27.56
12053,-0.16,-0.65,9.40,27.55
12068,-0.16,-0.62,9.42,27.46
12085,-0.15,-0.62,9.46,27.56
12103,-0.13,-0.63,9.40,27.46
12119,-0.18,-0.61,9.41,27.44
12136,-0.15,-0.67,9.46,27.56
12153,-0.15,-0.65,9.43,27.46
12169,-0.16,-0.63,9.46,27.46
12186,-0.15,-0.62,9.45,27.46
12204,-0.13,-0.62,9.42,27.44
12219,-0.15,-0.63,9.43,27.56
12236,-0.14,-0.63,9.41,27.46
12254,-0.11,-0.62,9.42,27.46
12269,-0.15,-0.64,9.43,27.56
12286,-0.14,-0.64,9.44,27.44
12304,-0.13,-0.65,9.42,27.56
12320,-0.14,-0.64,9.43,27.56
12337,-0.15,-0.62,9.45,27.46
12354,-0.15,-0.62,9.44,27.56
12370,-0.15,-0.64,9.45,27.56
12387,-0.14,-0.66,9.44,27.44
12404,-0.14,-0.63,9.41,27.56
12421,-0.13,-0.63,9.43,27.44
12437,-0.16,-0.65,9.46,27.56
12455,-0.16,-0.65,9.43,27.56
12471,-0.13,-0.62,9.41,27.46
12487,-0.12,-0.64,9.44,27.56
12506,-0.15,-0.64,9.41,27.44
12521,-0.13,-0.63,9.43,27.46
12538,-0.14,-0.64,9.43,27.56
12556,-0.14,-0.62,9.41,27.46
12571,-0.14,-0.64,9.44,27.44
12589,-0.13,-0.64,9.41,27.44
12606,-0.15,-0.66,9.41,27.46
12621,-0.14,-0.65,9.45,27.56
12639,-0.15,-0.63,9.42,27.44
12656,-0.15,-0.63,9.41,27.46
12672,-0.16,-0.62,9.44,27.55
12689,-0.15,-0.65,9.42,27.44
12706,-0.15,-0.62,9.44,27.56
12722,-0.12,-0.64,9.42,27.56
12739,-0.15,-0.65,9.46,27.46
12756,-0.14,-0.63,9.41,27.56
12773,-0.15,-0.62,9.45,27.44
12789,-0.15,-0.63,9.41,27.46
12807,-0.15,-0.62,9.43,27.56
12823,-0.14,-0.64,9.41,27.46
12839,-0.13,-0.62,9.42,27.56
